Place,Club,City,Medal,Year
1,Polonia Bydgoszcz,Bydgoszcz,Gold,2000
2,TS Polonia Pi?a,Pila,Silver,2000
3,Pergo Gorzów Wielkopolski,Gorzow Wielkopolski,Brown,2000
1,Apator Toru?,Torun,Gold,2001
2,WTS Wroc?aw,Wroclaw,Silver,2001
3,Polonia Bydgoszcz,Bydgoszcz,Brown,2001
1,Polonia Bydgoszcz,Bydgoszcz,Gold,2002
2,Unia Leszno,Leszno,Silver,2002
3,WTS Wroc?aw,Wroclaw,Brown,2002
1,W?ókniarz Cz?stochowa,Czestochowa,Gold,2003
2,Apator Toru?,Torun,Silver,2003
3,Polonia Bydgoszcz,Bydgoszcz,Brown,2003
1,Unia Tarnów,Tarnow,Gold,2004
2,WTS Wroc?aw,Wroclaw,Silver,2004
3,W?ókniarz Cz?stochowa,Czestochowa,Brown,2004
1,Unia Tarnów,Tarnow,Gold,2005
2,Polonia Bydgoszcz,Bydgoszcz,Silver,2005
3,W?ókniarz Cz?stochowa,Czestochowa,Brown,2005
1,WTS Wroc?aw,Wroclaw,Gold,2006
2,W?ókniarz Cz?stochowa,Czestochowa,Silver,2006
3,Polonia Bydgoszcz,Bydgoszcz,Brown,2006
1,Unia Leszno SSALES,Leszno,Gold,2007
2,Unibax Toru?TOR,Torun,Silver,2007
3,Atlas Wroc?aw (M)WRO (M),Wroclaw,Brown,2007
4,Marma Polskie Folie RzeszówRZE,Rzeszow,,2007
5,CKM Z?omrex W?ókniarz Cz?stochowaCZE,Czestochowa,,2007
6,Unia Tarnów ?SSATAR,Tarnow,,2007
7,ZK? Kronopol Zielona Góra (B)ZIE (B),Zielona Gora,,2007
8,Polonia BydgoszczBYD,Bydgoszcz,Relegated,2007
1,Unibax Toru?TOR,Torun,Gold,2008
2,Unia Leszno SSA (M)LES (M),Leszno,Silver,2008
3,ZK? Kronopol Zielona GóraZIE,Zielona Gora,Brown,2008
4,CKM Z?omrex W?ókniarz Cz?stochowaCZE,Czestochowa,,2008
5,Atlas Wroc?awWRO,Wroclaw,,2008
6,Caelum Stal Gorzów (B)GOR (B),Gorzow,,2008
7,Marma Polskie Folie RzeszówRZE,Rzeszow,,2008
8,Unia Tarnów ?SSATAR,Tarnow,Relegated,2008
1,Falubaz Zielona GóraZIE,Zielona Gora,Gold,2009
2,Unibax Toru? (M)TOR (M),Torun,Silver,2009
3,CKM Cognor W?ókniarz Cz?stochowaCZE,Czestochowa,Brown,2009
4,Polonia Bydgoszcz (B)BYD (B),Bydgoszcz,,2009
5,Unia LesznoLES,Leszno,,2009
6,Caelum Stal GorzówGOR,Gorzow,,2009
7,Atlas Wroc?awWRO,Wroclaw,,2009
8,Lotos Wybrze?e Gda?sk (B)GDA (B),Gdansk,Relegated,2009
1,Unia LesznoLES,Leszno,Gold,2010
2,Falubaz Zielona Góra (M)ZIE (M),Zielona Gora,Silver,2010
3,Unibax Toru?TOR,Torun,Brown,2010
4,BETARD Sparta Wroc?awWRO,Wroclaw,,2010
5,Tauron Azoty Tarnów (B)TAR (B),Tarnow,,2010
6,Caelum Stal GorzówGOR,Gorzow,,2010
7,CKM W?ókniarz Cz?stochowaCZE,Czestochowa,,2010
8,Polonia BydgoszczBYD,Bydgoszcz,Relegated,2010
1,Stelmet Falubaz Zielona GóraZIE,Zielona Gora,Gold,2011
2,Unia Leszno (M)LES (M),Leszno,Silver,2011
3,Caelum Stal GorzówGOR,Gorzow,Brown,2011
4,Unibax Toru?TOR,Torun,,2011
5,PGE Marma Rzeszów (B)RZE (B),Rzeszow,,2011
6,BETARD Sparta Wroc?awWRO,Wroclaw,,2011
7,Tauron Azoty TarnówTAR,Tarnow,,2011
8,CKM W?ókniarz Cz?stochowaCZE,Czestochowa,Relegated,2011
1,Azoty Tauron TarnówTAR,Tarnow,Gold,2012
2,Stal GorzówGOR,Gorzow,Silver,2012
3,Unibax Toru?TOR,Torun,Brown,2012
4,Stelmet Falubaz Zielona Góra (M)ZIE (M),Zielona Gora,,2012
5,Unia LesznoLES,Leszno,,2012
6,Polonia Bydgoszcz (B)BYD (B),Bydgoszcz,,2012
7,PGE Marma RzeszówRZE,Rzeszow,,2012
8,Dospel CKM W?ókniarz Cz?stochowaCZE,Czestochowa,Relegated,2012
9,BETARD Sparta Wroc?awWRO,Wroclaw,,2012
10,Lotos Wybrze?e Gda?sk (B)GDA (B),Gdansk,,2012
1,Stelmet Falubaz Zielona GóraZIE,Zielona Gora,Gold,2013
2,Unibax Toru?TOR,Torun,Silver,2013
3,Unia Tarnów (M)TAR (M),Tarnow,Brown,2013
4,Dospel CKM W?ókniarz Cz?stochowaCZE,Czestochowa,,2013
5,Stal GorzówGOR,Gorzow,,2013
6,FOGO Unia LesznoLES,Leszno,,2013
7,BETARD Sparta Wroc?awWRO,Wroclaw,,2013
8,PGE Marma RzeszówRZE,Rzeszow,Relegated,2013
9,sk?adyw?gla.pl Polonia BydgoszczBYD,Bydgoszcz,,2013
10,Lechma Start Gniezno (B)GNI (B),Gniezno,,2013
1,Stal GorzówGOR,Gorzow,Gold,2014
2,FOGO Unia LesznoLES,Leszno,Silver,2014
3,Grupa Azoty Unia TarnówTAR,Tarnow,Brown,2014
4,SPAR Falubaz Zielona Góra (M)ZIE (M),Zielona Gora,,2014
5,Unibax Toru?TOR,Torun,,2014
6,BETARD Sparta Wroc?awWRO,Wroclaw,,2014
7,Kantoronline VIPERPRINT W?ókniarz Cz?stochowaCZE,Czestochowa,,2014
8,RENAULT ZDUNEK WYBRZE?E Gda?sk (B)GDA (B),Gdansk,Relegated,2014
1,FOGO Unia LesznoLES,Leszno,Gold,2015
2,BETARD Sparta Wroc?awWRO,Wroclaw,Silver,2015
3,Unia TarnówTAR,Tarnow,Brown,2015
4,KS Toru?TOR,Torun,,2015
5,SPAR Falubaz Zielona GóraZIE,Zielona Gora,,2015
6,MONEYmakesMONEY.pl Stal Gorzów (M)GOR (M),Gorzow,,2015
7,PGE Stal Rzeszów (B)RZE (B),Rzeszow,,2015
8,MRGARDEN GKM Grudzi?dz (B)GRU (B),Grudziadz,Relegated,2015
1,Stal GorzówGOR,Gorzow,Gold,2016
2,GET WELL Toru?TOR,Torun,Silver,2016
3,Ekantor.pl Falubaz Zielona GóraZIE,Zielona Gora,Brown,2016
4,BETARD Sparta Wroc?awWRO,Wroclaw,,2016
5,MRGARDEN GKM Grudzi?dzGRU,Grudziadz,,2016
6,ROW Rybnik (B)RYB (B),Rybnik,,2016
7,FOGO Unia Leszno (M)LES (M),Leszno,,2016
8,Unia TarnówTAR,Tarnow,Relegated,2016
1,FOGO Unia LesznoLES,Leszno,Gold,2017
