ID,Rider,Team,Kls,Me,Scr,Bon,Sum,St,Avg,I,II,III,IV,D,T,M,W,U,Year
93,Lukasz Bojarski,WRO,Nie,4,3,0,3,9,0.333,0,1,1,5,1,0,0,1,0,2013
88,Lukasz Cyran,GOR,Nie,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2008
75,Lukasz Cyran,GOR,Nie,5,2,0,2,7,0.286,0,0,2,3,0,0,1,1,0,2009
56,Lukasz Cyran,GOR,Nie,1,3,0,3,3,1,0,1,1,1,0,0,0,0,0,2010
53,Lukasz Cyran,GOR,Tak,18,39,12,51,51,1,2,10,13,19,0,1,0,6,0,2011
73,Lukasz Cyran,GOR,Nie,8,17,1,18,23,0.783,1,3,8,9,1,0,0,1,0,2013
64,Lukasz Jankowski,ZIE,Nie,7,20,3,23,21,1.095,3,2,7,8,1,0,0,0,0,2012
84,Lukasz Jankowski,GOR,Nie,3,3,1,4,6,0.667,0,1,1,4,0,0,0,0,0,2013
95,LukaszKaczmarek,GOR,Nie,4,2,0,2,11,0.182,0,0,2,7,0,1,0,1,0,2012
71,LukaszKret,RZE,Tak,16,8,1,9,42,0.214,0,2,4,30,2,1,0,3,0,2011
82,LukaszKret,RZE,Nie,6,11,1,12,20,0.6,1,0,8,6,4,1,0,0,0,2012
95,LukaszKret,RZE,Nie,9,7,1,8,25,0.32,1,0,4,13,2,0,3,1,1,2013
69,LukaszLesiak,TAR,Nie,8,11,0,11,27,0.407,0,1,9,14,0,1,2,0,0,2011
97,LukaszPrzedpelski,TOR,Nie,2,0,0,0,6,0,0,0,0,4,1,0,0,1,0,2012
70,LukaszSówka,ZIE,Nie,6,4,0,4,9,0.444,1,0,1,6,1,0,0,0,0,2010
55,LukaszSówka,RZE,Tak,16,76,8,84,66,1.273,11,13,17,22,1,1,0,0,1,2012
49,LukaszSówka,RZE,Tak,18,97,13,110,75,1.467,14,16,23,17,1,1,3,0,0,2013
74,LukaszSówka,RZE,Nie,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015
62,Adam Bednar,GOR,Nie,5,5,0,5,7,0.714,1,0,2,4,0,0,0,0,0,2024
68,Adam Ellis,GOR,Nie,4,0,0,0,5,0,0,0,0,4,1,0,0,0,0,2019
66,Adam Kajoch,LES,Nie,10,26,4,30,35,0.857,2,7,6,19,0,0,0,1,0,2007
64,Adam Kajoch,LES,Nie,5,13,1,14,15,0.933,1,2,6,5,1,0,0,0,0,2008
23,Adam Shields,LES,Nie,9,56,16,72,39,1.846,7,10,15,6,0,0,0,0,1,2008
33,Adam Shields,LES,Tak,11,60,13,73,48,1.521,5,11,23,5,1,3,0,0,0,2009
45,Adam Shields,LES,Nie,2,6,3,9,8,1.125,0,1,4,3,0,0,0,0,0,2010
46,Adam Shields,WRO,Nie,7,24,6,30,26,1.154,3,2,11,10,0,0,0,0,0,2011
45,Adam Skórnicki,GDA,Tak,16,69,13,82,66,1.242,7,11,26,18,3,1,0,0,0,2009
52,Adam Skórnicki,LES,Nie,12,31,10,41,39,1.051,3,5,12,18,1,0,0,0,0,2011
57,Adam Strzelec,ZIE,Tak,17,40,5,45,50,0.9,2,8,18,19,0,1,0,2,0,2011
71,Adam Strzelec,ZIE,Tak,21,60,10,70,71,0.986,8,7,22,27,2,1,0,3,1,2012
69,Adam Strzelec,CZE,Nie,11,26,3,29,32,0.906,3,4,9,14,1,0,0,1,0,2013
58,Adam Strzelec,ZIE,Tak,15,37,12,49,47,1.043,3,9,10,22,0,0,1,1,1,2014
74,Adam Strzelec,ZIE,Nie,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015
66,Adrian Cyfer,GOR,Nie,2,3,0,3,5,0.6,0,0,3,2,0,0,0,0,0,2011
84,Adrian Cyfer,GOR,Tak,22,29,6,35,63,0.556,0,7,15,36,5,0,0,0,0,2012
66,Adrian Cyfer,GOR,Nie,11,27,6,33,31,1.065,2,6,9,12,1,0,0,1,0,2013
56,Adrian Cyfer,GOR,Tak,18,59,12,71,61,1.164,4,11,25,19,1,0,0,1,0,2014
43,Adrian Cyfer,GOR,Tak,14,43,9,52,42,1.238,3,8,18,12,1,0,0,0,0,2015
48,Adrian Cyfer,GOR,Tak,18,43,14,57,53,1.075,1,9,22,19,1,0,0,1,0,2016
87,Adrian Gala,GNI,Nie,5,8,2,10,17,0.588,1,0,5,8,1,1,0,0,1,2013
56,Adrian Gala,WRO,Tak,14,26,9,35,41,0.854,1,4,15,17,2,0,0,2,0,2015
64,Adrian Gala,WRO,Nie,14,19,6,25,36,0.694,1,5,6,16,7,1,0,0,0,2016
96,Adrian Gomólski,ZIE,Nie,4,3,1,4,14,0.286,0,0,3,10,0,1,0,0,0,2013
18,Adrian Miedzinski,TOR,Tak,17,125,26,151,79,1.911,16,25,27,6,0,0,0,5,0,2008
19,Adrian Miedzinski,TOR,Tak,20,172,21,193,104,1.856,28,27,34,14,0,0,0,1,0,2009
17,Adrian Miedzinski,TOR,Tak,20,156,17,173,95,1.821,27,25,25,15,2,0,0,1,0,2010
12,Adrian Miedzinski,TOR,Tak,19,164,17,181,91,1.989,29,26,25,6,1,1,0,3,0,2011
30,Adrian Miedzinski,TOR,Tak,22,184,22,206,113,1.823,28,34,32,18,0,0,0,1,0,2012
12,Adrian Miedzinski,TOR,Tak,20,206,23,229,110,2.082,38,34,24,8,2,0,0,4,0,2013
25,Adrian Miedzinski,TOR,Tak,14,102,15,117,66,1.773,15,20,17,10,1,0,0,3,0,2014
32,Adrian Miedzinski,TOR,Tak,15,83,12,95,62,1.532,10,18,17,14,2,0,0,1,0,2015
34,Adrian Miedzinski,TOR,Tak,18,111,16,127,80,1.588,13,20,32,9,1,0,0,5,0,2016
35,Adrian Miedzinski,TOR,Tak,10,76,3,79,51,1.549,11,16,11,7,0,0,0,6,0,2017
28,Adrian Miedzinski,CZE,Tak,18,126,22,148,89,1.663,14,33,18,16,1,0,0,6,1,2018
41,Adrian Miedzinski,CZE,Tak,18,84,17,101,77,1.312,9,17,23,23,0,0,0,4,1,2019
38,Adrian Miedzinski,TOR,Tak,14,76,11,87,60,1.45,9,19,11,16,0,0,0,5,0,2021
65,Adrian Miedzinski,LES,Nie,5,8,0,8,13,0.615,0,2,4,7,0,0,0,0,0,2023
25,Adrian Miedzinski,TOR,Tak,18,118,23,141,83,1.699,14,25,26,8,4,1,1,3,1,2007
72,Adrian Szewczykowski,GOR,Tak,15,23,1,24,34,0.706,2,4,9,18,0,0,0,0,1,2008
68,Adrian Szewczykowski,GOR,Nie,6,5,2,7,11,0.636,0,0,5,6,0,0,0,0,0,2009
71,Adrian Wozniak,CZE,Nie,3,2,0,2,9,0.222,0,0,2,5,2,0,0,0,0,2018
49,Alan Marcinkowski,TOR,Nie,19,37,13,50,38,1.316,2,10,11,14,1,0,0,0,0,2007
61,Alan Szczotka,GOR,Nie,5,11,2,13,15,0.867,1,1,6,6,1,0,0,0,0,2017
63,Alan Szczotka,GOR,Nie,17,15,3,18,33,0.545,1,1,10,21,0,0,0,0,0,2018
71,Alan Szczotka,GOR,Nie,7,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2019
55,Ales Dryml,TOR,Nie,9,32,7,39,37,1.054,3,4,15,11,3,1,0,0,0,2007
60,Ales Dryml,TAR,Nie,4,14,3,17,18,0.944,0,3,8,7,0,0,0,0,0,2008
79,Alex Zgardzinski,ZIE,Nie,5,9,2,11,15,0.733,1,2,2,10,0,0,0,0,0,2013
54,Alex Zgardzinski,ZIE,Nie,5,13,5,18,15,1.2,0,4,5,4,2,0,0,0,0,2014
58,Alex Zgardzinski,ZIE,Tak,14,26,4,30,40,0.75,3,4,9,22,1,0,0,1,0,2015
60,Alex Zgardzinski,ZIE,Nie,6,13,3,16,19,0.842,0,3,7,9,0,0,0,0,0,2016
58,Alex Zgardzinski,ZIE,Tak,18,50,8,58,61,0.951,4,11,16,28,1,0,0,1,0,2017
46,Alex Zgardzinski,ZIE,Nie,9,27,3,30,26,1.154,4,4,7,11,0,0,0,0,0,2018
53,Anders Rowe,TOR,Nie,8,10,1,11,11,1,1,1,5,4,0,0,0,0,0,2024
28,Anders Thomsen,GOR,Tak,11,74,11,85,51,1.667,10,15,14,8,2,1,0,1,0,2019
15,Anders Thomsen,GOR,Tak,17,153,13,166,84,1.976,27,25,22,9,0,0,0,1,0,2020
17,Anders Thomsen,GOR,Tak,18,158,13,171,93,1.839,29,25,21,14,1,0,0,3,0,2021
10,Anders Thomsen,GOR,Tak,19,116,17,133,65,2.046,20,21,14,9,1,0,0,0,0,2022
8,Anders Thomsen,GOR,Tak,14,145,8,153,71,2.155,29,23,12,4,0,0,0,3,0,2023
9,Anders Thomsen,GOR,Tak,19,186,11,197,94,2.096,35,29,23,4,1,0,0,2,0,2024
13,Andreas Jonsson,BYD,Tak,13,111,6,117,58,2.017,18,23,11,4,1,0,0,0,1,2007
10,Andreas Jonsson,BYD,Tak,19,201,13,214,102,2.098,37,35,20,4,1,1,2,2,0,2009
12,Andreas Jonsson,BYD,Tak,16,169,14,183,89,2.056,27,32,24,5,0,1,0,0,0,2010
